sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-445_iter-1,depth-445_iter-2,depth-445_iter-3,depth-445_iter-4,depth-445_iter-5,depth-445_iter-6,depth-445_iter-7,depth-445_iter-8,depth-445_iter-9,depth-445_iter-10,depth-889_iter-1,depth-889_iter-2,depth-889_iter-3,depth-889_iter-4,depth-889_iter-5,depth-889_iter-6,depth-889_iter-7,depth-889_iter-8,depth-889_iter-9,depth-889_iter-10,depth-1334_iter-1,depth-1334_iter-2,depth-1334_iter-3,depth-1334_iter-4,depth-1334_iter-5,depth-1334_iter-6,depth-1334_iter-7,depth-1334_iter-8,depth-1334_iter-9,depth-1334_iter-10,depth-1778_iter-1,depth-1778_iter-2,depth-1778_iter-3,depth-1778_iter-4,depth-1778_iter-5,depth-1778_iter-6,depth-1778_iter-7,depth-1778_iter-8,depth-1778_iter-9,depth-1778_iter-10,depth-2222_iter-1,depth-2222_iter-2,depth-2222_iter-3,depth-2222_iter-4,depth-2222_iter-5,depth-2222_iter-6,depth-2222_iter-7,depth-2222_iter-8,depth-2222_iter-9,depth-2222_iter-10,depth-2667_iter-1,depth-2667_iter-2,depth-2667_iter-3,depth-2667_iter-4,depth-2667_iter-5,depth-2667_iter-6,depth-2667_iter-7,depth-2667_iter-8,depth-2667_iter-9,depth-2667_iter-10,depth-3111_iter-1,depth-3111_iter-2,depth-3111_iter-3,depth-3111_iter-4,depth-3111_iter-5,depth-3111_iter-6,depth-3111_iter-7,depth-3111_iter-8,depth-3111_iter-9,depth-3111_iter-10,depth-3555_iter-1,depth-3555_iter-2,depth-3555_iter-3,depth-3555_iter-4,depth-3555_iter-5,depth-3555_iter-6,depth-3555_iter-7,depth-3555_iter-8,depth-3555_iter-9,depth-3555_iter-10,depth-4000_iter-1,depth-4000_iter-2,depth-4000_iter-3,depth-4000_iter-4,depth-4000_iter-5,depth-4000_iter-6,depth-4000_iter-7,depth-4000_iter-8,depth-4000_iter-9,depth-4000_iter-10,dog
Dog31,1,1,1,1,1,1,1,1,1,1,46,45,47,40,46,44,45,43,43,43,53,53,54,54,55,49,53,56,51,55,56,60,65,67,59,59,60,61,65,64,71,68,66,71,70,71,64,62,68,66,73,73,70,73,71,70,74,70,68,72,75,69,72,73,73,70,73,79,76,74,72,82,74,82,82,75,77,75,72,76,82,76,78,81,77,87,80,80,75,80,86,83,80,86,80,80,80,79,79,85,K
Dog8,1,1,1,1,1,1,1,1,1,1,58,57,51,58,54,50,62,60,61,58,75,69,74,69,64,69,66,71,67,67,75,77,76,71,72,76,77,79,79,70,82,88,80,78,81,79,82,83,84,80,88,87,91,89,83,93,83,91,86,85,88,95,89,92,96,95,90,94,83,90,96,91,96,93,94,96,93,89,95,101,98,94,97,91,96,93,96,97,95,96,93,92,96,107,95,96,97,101,98,102,B
Dog17,1,1,1,1,1,1,1,1,1,1,53,50,54,50,49,54,51,48,52,56,68,63,70,65,62,61,66,64,61,62,71,62,77,69,73,74,71,72,74,74,75,73,81,85,77,82,76,88,73,78,82,80,81,77,81,83,83,80,77,81,82,87,84,83,86,85,83,84,84,81,82,89,81,84,83,86,86,82,88,85,85,91,94,93,88,88,85,86,86,83,92,93,98,90,91,94,93,84,94,91,K
Dog10,1,1,1,1,1,1,1,1,1,1,47,42,44,49,55,50,45,40,47,51,60,53,67,64,58,62,58,59,58,63,73,71,70,64,62,69,68,68,70,64,73,80,84,79,71,76,75,80,76,76,78,81,76,80,79,75,79,73,80,79,87,78,86,83,87,81,85,80,82,85,84,82,85,79,90,91,92,83,84,88,89,87,88,83,95,89,90,85,87,83,90,94,92,90,90,91,86,89,86,86,K
Dog22,1,1,1,1,1,1,1,1,1,1,40,39,42,41,46,48,37,42,36,41,54,54,51,57,54,45,57,53,63,56,66,60,62,59,63,59,61,61,62,63,61,62,71,72,67,69,72,66,67,68,74,76,74,71,63,73,72,73,79,79,77,70,77,78,74,71,76,83,78,74,75,74,79,70,81,79,81,77,85,80,81,81,80,80,90,86,80,75,81,85,75,81,81,82,82,84,90,81,90,84,B
Dog9,1,1,1,1,1,1,1,1,1,1,62,52,63,59,56,56,60,69,69,56,78,74,68,72,75,72,71,74,68,73,91,84,83,84,81,88,80,86,82,87,89,85,88,90,87,90,88,91,88,85,98,103,105,91,90,97,94,102,93,86,101,98,90,100,95,100,94,97,108,99,108,93,99,103,102,109,99,101,105,104,102,104,97,104,105,106,103,102,102,104,109,103,110,106,102,110,105,109,111,104,G
Dog15,1,1,1,1,1,1,1,1,1,1,40,40,37,46,43,37,38,40,39,39,51,52,54,52,49,52,51,54,52,57,62,57,65,67,58,61,60,59,62,57,65,61,62,71,55,60,72,64,66,68,72,65,65,65,66,60,66,68,66,66,73,66,75,70,67,73,69,72,77,67,79,72,67,68,77,70,72,75,73,74,76,78,78,77,74,81,79,72,72,74,79,75,77,82,76,81,85,77,72,72,B
Dog16,1,1,1,1,1,1,1,1,1,1,56,57,54,56,62,53,50,52,56,55,71,77,65,72,65,72,65,73,71,65,81,80,79,80,92,71,80,80,86,82,79,81,88,91,98,84,85,84,83,87,97,90,94,91,101,88,94,96,96,93,100,97,97,97,98,98,93,94,100,99,102,106,95,97,101,102,99,104,97,97,99,104,107,103,100,102,99,103,102,102,104,100,111,108,107,105,106,105,106,102,G
Dog29,1,1,1,1,1,1,1,1,1,1,46,49,44,37,41,37,46,40,39,34,55,53,60,51,53,50,42,56,54,51,50,59,53,53,57,56,60,60,61,58,64,59,62,62,68,65,65,62,61,64,67,63,62,68,71,70,61,68,66,67,70,74,70,77,66,73,68,66,72,68,71,68,73,70,68,71,71,71,72,71,72,77,68,70,72,71,79,74,81,72,77,72,79,78,79,78,79,73,75,77,B
Dog1,1,1,1,1,1,1,1,1,1,1,54,56,49,53,53,51,57,44,51,53,63,67,64,64,73,62,63,58,65,68,71,73,70,73,80,74,68,75,73,72,81,80,78,76,78,76,79,82,75,79,77,82,84,85,79,86,86,81,79,84,83,83,87,83,87,81,85,83,88,89,82,87,84,85,91,88,84,88,85,88,91,90,91,93,89,87,89,97,87,90,95,89,92,89,91,96,86,95,89,89,B
